HourUTC;HourDK;PriceArea;SpotPriceEUR
2023-12-31 23:00:00;2024-01-01 00:00:00;DK2;29,129999
2024-01-01 00:00:00;2024-01-01 01:00:00;DK2;28,459999
2024-01-01 01:00:00;2024-01-01 02:00:00;DK2;26,660000
2024-01-01 02:00:00;2024-01-01 03:00:00;DK2;24,480000
2024-01-01 03:00:00;2024-01-01 04:00:00;DK2;24,010000
2024-01-01 04:00:00;2024-01-01 05:00:00;DK2;15,880000
2024-01-01 05:00:00;2024-01-01 06:00:00;DK2;15,870000
2024-01-01 06:00:00;2024-01-01 07:00:00;DK2;22,040001
2024-01-01 07:00:00;2024-01-01 08:00:00;DK2;25,420000
2024-01-01 08:00:00;2024-01-01 09:00:00;DK2;32,209999
2024-01-01 09:00:00;2024-01-01 10:00:00;DK2;41,340000
2024-01-01 10:00:00;2024-01-01 11:00:00;DK2;43,509998
2024-01-01 11:00:00;2024-01-01 12:00:00;DK2;43,020000
2024-01-01 12:00:00;2024-01-01 13:00:00;DK2;44,290001
2024-01-01 13:00:00;2024-01-01 14:00:00;DK2;46,240002
2024-01-01 14:00:00;2024-01-01 15:00:00;DK2;50,610001
2024-01-01 15:00:00;2024-01-01 16:00:00;DK2;59,470001
2024-01-01 16:00:00;2024-01-01 17:00:00;DK2;64,989998
2024-01-01 17:00:00;2024-01-01 18:00:00;DK2;61,740002
2024-01-01 18:00:00;2024-01-01 19:00:00;DK2;55,070000
2024-01-01 19:00:00;2024-01-01 20:00:00;DK2;48,009998
2024-01-01 20:00:00;2024-01-01 21:00:00;DK2;44,009998
2024-01-01 21:00:00;2024-01-01 22:00:00;DK2;45,200001
2024-01-01 22:00:00;2024-01-01 23:00:00;DK2;38,000000
2024-01-01 23:00:00;2024-01-02 00:00:00;DK2;38,000000
2024-01-02 00:00:00;2024-01-02 01:00:00;DK2;33,560001
2024-01-02 01:00:00;2024-01-02 02:00:00;DK2;32,029999
2024-01-02 02:00:00;2024-01-02 03:00:00;DK2;32,290001
2024-01-02 03:00:00;2024-01-02 04:00:00;DK2;36,700001
2024-01-02 04:00:00;2024-01-02 05:00:00;DK2;41,720001
2024-01-02 05:00:00;2024-01-02 06:00:00;DK2;49,180000
2024-01-02 06:00:00;2024-01-02 07:00:00;DK2;58,750000
2024-01-02 07:00:00;2024-01-02 08:00:00;DK2;65,669998
2024-01-02 08:00:00;2024-01-02 09:00:00;DK2;66,110001
2024-01-02 09:00:00;2024-01-02 10:00:00;DK2;68,980003
2024-01-02 10:00:00;2024-01-02 11:00:00;DK2;73,540001
2024-01-02 11:00:00;2024-01-02 12:00:00;DK2;78,160004
2024-01-02 12:00:00;2024-01-02 13:00:00;DK2;78,870003
2024-01-02 13:00:00;2024-01-02 14:00:00;DK2;79,239998
2024-01-02 14:00:00;2024-01-02 15:00:00;DK2;79,959999
2024-01-02 15:00:00;2024-01-02 16:00:00;DK2;81,459999
2024-01-02 16:00:00;2024-01-02 17:00:00;DK2;80,919998
2024-01-02 17:00:00;2024-01-02 18:00:00;DK2;74,949997
2024-01-02 18:00:00;2024-01-02 19:00:00;DK2;63,180000
2024-01-02 19:00:00;2024-01-02 20:00:00;DK2;57,110001
2024-01-02 20:00:00;2024-01-02 21:00:00;DK2;48,040001
2024-01-02 21:00:00;2024-01-02 22:00:00;DK2;40,000000
2024-01-02 22:00:00;2024-01-02 23:00:00;DK2;30,000000
2024-01-02 23:00:00;2024-01-03 00:00:00;DK2;20,000000
2024-01-03 00:00:00;2024-01-03 01:00:00;DK2;15,870000
2024-01-03 01:00:00;2024-01-03 02:00:00;DK2;15,880000
2024-01-03 02:00:00;2024-01-03 03:00:00;DK2;15,880000
2024-01-03 03:00:00;2024-01-03 04:00:00;DK2;15,940000
2024-01-03 04:00:00;2024-01-03 05:00:00;DK2;20,040001
2024-01-03 05:00:00;2024-01-03 06:00:00;DK2;49,439999
2024-01-03 06:00:00;2024-01-03 07:00:00;DK2;53,529999
2024-01-03 07:00:00;2024-01-03 08:00:00;DK2;63,480000
2024-01-03 08:00:00;2024-01-03 09:00:00;DK2;64,989998
2024-01-03 09:00:00;2024-01-03 10:00:00;DK2;60,189999
2024-01-03 10:00:00;2024-01-03 11:00:00;DK2;59,959999
