profile,minute,load_kW,set,method,reserve_bid_kW,minute_shortfall_kW,minute_violation
101,1,454.0621,out_of_sample,ALSO-X,282.303,0.0,False
101,2,443.2282,out_of_sample,ALSO-X,282.303,0.0,False
101,3,454.9936,out_of_sample,ALSO-X,282.303,0.0,False
101,4,442.4732,out_of_sample,ALSO-X,282.303,0.0,False
101,5,436.273,out_of_sample,ALSO-X,282.303,0.0,False
101,6,422.44,out_of_sample,ALSO-X,282.303,0.0,False
101,7,431.0248,out_of_sample,ALSO-X,282.303,0.0,False
101,8,449.7162,out_of_sample,ALSO-X,282.303,0.0,False
101,9,427.6551,out_of_sample,ALSO-X,282.303,0.0,False
101,10,422.4947,out_of_sample,ALSO-X,282.303,0.0,False
101,11,434.1722,out_of_sample,ALSO-X,282.303,0.0,False
101,12,417.4512,out_of_sample,ALSO-X,282.303,0.0,False
101,13,423.0028,out_of_sample,ALSO-X,282.303,0.0,False
101,14,434.574,out_of_sample,ALSO-X,282.303,0.0,False
101,15,433.4689,out_of_sample,ALSO-X,282.303,0.0,False
101,16,437.3663,out_of_sample,ALSO-X,282.303,0.0,False
101,17,453.0555,out_of_sample,ALSO-X,282.303,0.0,False
101,18,468.8918,out_of_sample,ALSO-X,282.303,0.0,False
101,19,462.8783,out_of_sample,ALSO-X,282.303,0.0,False
101,20,453.035,out_of_sample,ALSO-X,282.303,0.0,False
101,21,440.646,out_of_sample,ALSO-X,282.303,0.0,False
101,22,448.857,out_of_sample,ALSO-X,282.303,0.0,False
101,23,432.7324,out_of_sample,ALSO-X,282.303,0.0,False
101,24,429.8634,out_of_sample,ALSO-X,282.303,0.0,False
101,25,431.0103,out_of_sample,ALSO-X,282.303,0.0,False
101,26,426.0703,out_of_sample,ALSO-X,282.303,0.0,False
101,27,429.6467,out_of_sample,ALSO-X,282.303,0.0,False
101,28,455.7229,out_of_sample,ALSO-X,282.303,0.0,False
101,29,451.8765,out_of_sample,ALSO-X,282.303,0.0,False
101,30,445.4062,out_of_sample,ALSO-X,282.303,0.0,False
101,31,454.2566,out_of_sample,ALSO-X,282.303,0.0,False
101,32,454.3084,out_of_sample,ALSO-X,282.303,0.0,False
101,33,466.3561,out_of_sample,ALSO-X,282.303,0.0,False
101,34,464.1999,out_of_sample,ALSO-X,282.303,0.0,False
101,35,458.1434,out_of_sample,ALSO-X,282.303,0.0,False
101,36,437.4171,out_of_sample,ALSO-X,282.303,0.0,False
101,37,420.7588,out_of_sample,ALSO-X,282.303,0.0,False
101,38,403.8663,out_of_sample,ALSO-X,282.303,0.0,False
101,39,411.0639,out_of_sample,ALSO-X,282.303,0.0,False
101,40,399.8817,out_of_sample,ALSO-X,282.303,0.0,False
101,41,416.1078,out_of_sample,ALSO-X,282.303,0.0,False
101,42,418.0114,out_of_sample,ALSO-X,282.303,0.0,False
101,43,416.8112,out_of_sample,ALSO-X,282.303,0.0,False
101,44,409.6199,out_of_sample,ALSO-X,282.303,0.0,False
